amostras;pos_x;pos_y;dir_XY
1;96,40797341;97,94893029;1
2;91,00675723;97,66290557;1
3;106,6460643;103,3539436;0
4;112,3343398;94,94197027;0
5;103,548007;123,1244485;0
6;95,40696081;85,37334704;1
7;102,1676101;90,00294792;0
8;84,7818799;92,05269887;2
9;104,8582024;103,9940346;0
10;101,9410322;96,3000505;0
11;96,00347564;89,49185738;1
12;86,37304088;104,8375568;2
13;89,08037924;84,82553565;2
14;97,99813395;93,0707645;1
15;118,4396868;95,99104967;0
16;100,6081564;111,0482688;0
17;102,6369321;88,47738425;0
18;102,2726795;100,4786784;0
19;80,99092409;97,42717591;2
20;108,6946329;95,6874035;0
21;109,5614269;80,71343725;0
22;93,07854068;94,85482931;1
23;96,67193151;96,07133532;1
24;116,5450274;93,42626325;0
25;104,1719659;114,9836978;0
26;104,9099185;103,3385732;0
27;84,72558218;81,95603439;2
28;94,18811285;107,0434908;1
29;120,9747668;119,4007953;0
30;90,73875188;85,33307917;1
31;88,06185886;96,49351139;2
32;116,9524355;109,0576123;0
33;94,20622316;105,8408887;1
34;110,1828618;116,0486252;0
35;108,8928118;107,2439207;0
36;101,4234502;98,0784537;0
37;73,34634827;107,753647;2
38;94,29646778;90,00799562;1
39;87,69833383;110,053941;2
40;100,9357905;95,93212578;0
41;95,82553301;104,7089657;1
42;108,3503437;90,94238774;0
43;120,5839569;100,7630433;0
44;108,3568466;91,84324224;0
45;102,5348982;104,8014726;0
46;111,7209993;92,31745278;0
47;88,7264039;106,1836772;2
48;91,10491444;93,63842562;1
49;111,2505177;105,4612656;0
50;114,2365934;86,56981006;0
51;118,5797035;108,684583;0
52;91,19545464;100,2536126;1
53;82,02574716;122,544009;2
54;105,7296575;109,7651991;0
55;93,6749191;109,6854137;1
56;102,617935;101,6006538;0
57;113,1726665;104,1219437;0
58;106,4885171;103,4999744;0
59;96,70505986;81,8815013;1
60;99,23311407;119,4309905;1
61;100,8520715;112,513101;0
62;108,6467253;74,73969415;0
63;98,79182724;94,66440386;1
64;82,96329977;95,28677108;2
65;98,18666083;107,0965143;1
66;83,70817593;109,6026042;2
67;102,1136088;90,1940555;0
68;86,89263521;109,5566065;2
69;108,098209;99,10031647;0
70;110,664894;94,49249799;0
71;90,37067937;92,59403012;1
72;94,7093329;110,2887725;1
73;98,70548208;88,03218659;1
74;104,5836941;90,06956841;0
75;101,1072757;95,61089226;0
76;80,20248313;111,3986971;2
77;103,184482;105,1006737;0
78;95,89470008;101,4883994;1
79;92,14574018;98,41329554;1
80;94,25861006;100,1403805;1
81;92,27215994;96,28366822;1
82;110,2797003;104,0014925;0
83;102,3701318;104,1853355;0
84;88,53072611;83,97902345;2
85;106,537698;106,1605533;0
86;91,07760686;96,59908099;1
87;104,1169528;94,32793629;0
88;93,75693278;86,41551429;1
89;101,6572471;97,6330173;0
90;91,85176875;102,1715323;1
91;99,16635716;91,55934347;1
92;92,17900495;105,5770784;1
93;103,5325229;91,36773567;0
94;86,80727913;117,8149548;2
95;111,2750513;104,9444679;0
96;105,6954377;111,145994;0
97;95,83887984;97,14221985;1
98;98,41638783;107,5282969;1
99;97,56294073;116,1775006;1
100;105,873585;97,70690238;0
101;102,6535645;103,5879566;0
102;99,41636588;113,7499228;1
103;105,3532403;92,5041493;0
104;107,3728074;93,54827196;0
105;69,37840478;103,2183038;2
106;100,2911179;100,9396331;0
107;97,18363597;83,71395122;1
108;116,9363375;97,8973392;0
109;112,1163112;89,30670699;0
110;81,11070454;96,67193151;2
111;108,4778549;96,8106863;0
112;95,76954224;87,14140474;1
113;95,69245119;108,5956799;1
114;101,9909521;93,37776444;0
115;100,3768491;87,22835244;0
116;81,90514816;108,5162583;2
117;116,2115612;128,5726856;0
118;113,8430551;114,2619228;0
119;78,66689228;111,5211151;2
120;108,9691866;101,4319539;0
121;93,72157617;92,62719257;1
122;99,07112169;101,372473;1
123;99,23311407;101,2389933;1
124;97,93722054;90,03694029;1
125;110,8023414;101,4814418;0
126;102,3182338;88,79402483;0
127;117,7813945;92,3390078;0
128;98,63216544;104,4304215;1
129;109,6451458;92,54562226;0
130;108,1781081;89,1646894;0
131;89,60938683;93,88194283;2
132;84,23859324;116,4377525;2
133;109,5771611;91,25391241;0
134;92,80175871;103,4837171;1
135;104,9912046;93,96841304;0
136;94,14185368;100,2375486;1
137;93,5924734;104,1536168;1
138;107,0082251;92,22050064;0
139;97,44851493;92,63823156;1
140;91,18642791;99,49834546;1
141;110,069175;96,26070348;0
142;109,4150437;114,0843895;0
143;99,83208454;124,1612724;1
144;107,6006017;116,8218776;0
145;90,47354322;101,9153163;1
146;99,61779622;101,9831418;1
147;111,4722297;94,53430064;0
148;106,4998517;99,92770654;0
149;98,11273028;108,814709;1
150;109,4987854;104,8444463;0
151;109,2788923;94,98886609;0
152;81,38582669;87,72436811;2
153;113,3682533;118,976607;0
154;82,64802343;94,03344191;2
155;80,96755007;89,05814209;2
156;96,78975655;97,78224264;1
157;101,1719521;117,1888587;0
158;100,2505544;110,7041615;0
159;96,15877186;87,51532075;1
160;102,9911234;95,95952431;0
161;76,97414074;105,0137487;2
162;85,07014425;116,3062396;2
163;92,54966951;95,2628059;1
164;88,76387508;89,53428531;2
165;103,5024186;94,16636456;0
166;111,8744083;92,04746928;0
167;88,97142177;95,84138095;2
168;84,57401489;115,4234385;2
169;107,5181561;98,74481773;0
170;80,93471731;107,1843715;2
171;123,2597813;98,37066298;0
172;106,1512992;102,7845545;0
173;106,1300625;115,4587269;0
174;93,87086973;103,4715185;1
175;114,6758794;93,76623236;0
176;115,5401267;97,09357326;0
177;119,1891559;118,5241333;0
178;86,66903593;120,4028765;2
179;96,0026571;98,42181069;1
180;99,43092917;107,9368078;1
181;106,2560957;99,35735104;0
182;99,96902034;124,9561708;1
183;102,5562258;109,1258471;0
184;102,6052703;94,43811021;0
185;104,8315314;93,21398718;0
186;103,3830929;89,07203462;0
187;95,45959781;83,09567673;1
188;108,1258577;99,24154963;0
189;109,3948074;103,5365929;0
190;105,6505087;103,7015866;0
191;104,9082018;86,2991217;0
192;100,5200377;113,0015451;0
193;93,41011971;118,8079866;1
194;96,52766292;111,7407808;1
195;101,9846993;94,91935796;0
196;96,80263727;102,6488124;1
197;118,9997991;96,18676156;0
198;109,1980155;101,5805199;0
199;85,38003183;114,3706075;2
200;93,49920472;94,54850013;1
201;96,61932861;73,60428097;1
202;86,55659965;97,22817847;2
203;87,60815743;93,68985755;2
204;123,3756509;93,54167812;0
205;101,6890453;107,9410029;0
206;101,3246108;86,93765519;0
207;107,6394599;105,4479528;0
208;85,17196218;88,14723767;2
209;93,63749339;84,65896169;1
210;85,96495061;99,05191999;2
211;88,75523488;107,3027195;2
212;111,6332558;92,45238769;0
213;92,06529537;101,8467972;1
214;90,01556716;95,89387016;1
215;112,890132;90,67513272;0
216;88,41326487;82,95024852;2
217;84,57656147;99,11797204;2
218;86,09082468;91,04909421;2
219;85,29938239;97,19159405;2
220;107,8865924;92,89364041;0
221;102,7464012;88,85116383;0
222;105,988511;89,6107056;0
223;104,1361091;98,35283688;0
224;96,16371724;107,6374135;1
225;92,57186118;81,75771907;1
226;115,7826435;93,7940629;0
227;104,4262151;99,52897269;0
228;103,3070592;109,4747975;0
229;101,6022113;88,81692136;0
230;87,878914;106,9779503;2
231;101,7441721;84,72803782;0
232;113,7302777;105,9793592;0
233;89,66695784;88,02747996;2
234;111,0651854;119,2425432;0
235;92,61412995;96,06885694;1
236;107,8688572;107,9998472;0
237;89,81070348;85,08178578;2
238;100,6204118;82,1437541;0
239;106,4281949;96,25578084;0
240;95,11594524;94,16454557;1
241;110,1035312;105,8881369;0
242;94,46220045;104,9496521;1
243;118,4021246;101,1434622;0
244;122,0743459;94,02430149;0
245;121,4920874;119,4461791;0
246;105,2055157;96,87983063;0
247;94,97845238;104,5412435;1
248;86,78899829;106,1494575;2
249;107,948347;108,5052761;0
250;97,2766318;88,30633103;1
251;100,2390834;95,16932121;0
252;111,4089517;100,7937388;0
253;102,1003075;93,30902938;0
254;105,8908654;91,13554168;0
255;121,2373379;117,4703928;0
256;91,90283688;108,3514124;1
257;111,5912371;103,5154358;0
258;92,26286036;87,2886292;1
259;100,1579792;88,39828095;0
260;89,28092282;92,72722562;2
261;114,3964371;103,2545813;0
262;99,3535198;80,51816874;1
263;106,0077355;95,28333774;0
264;122,2074959;108,2038014;0
265;100,3270884;96,35897439;0
266;98,42955276;82,40864443;1
267;96,58366505;96,03826382;1
268;95,75866241;99,0557626;1
269;85,42666617;92,79779104;2
270;105,0224116;96,21554707;0
271;101,1896759;107,6876859;0
272;105,9921717;97,63380174;0
273;108,4964995;102,2821041;0
274;105,666675;120,5966899;0
275;88,332047;84,92639861;2
276;93,34629592;94,85135049;1
277;116,1718617;109,3284143;0
278;104,2020361;113,4793709;0
279;98,35981725;89,51839189;1
280;113,9880967;87,77459496;0
281;112,3408881;92,46560947;0
282;105,9027002;94,820746;0
283;97,87465867;128,5283022;1
284;121,0724465;85,06782504;0
285;92,38305008;86,53011062;1
286;100,9657583;106,1328251;0
287;97,5621563;128,3536792;1
288;87,41291165;91,7199375;2
289;98,10260078;95,16415983;1
290;107,2967168;81,16054485;0
291;102,9783223;101,0241934;0
292;101,6146032;89,22776285;0
293;96,08289727;88,61155746;1
294;94,13913656;106,8352051;1
295;104,4625153;107,9043502;0
296;95,66725819;99,11567556;1
297;88,53072611;86,32256393;2
298;82,67207957;107,5883577;2
299;84,16401468;116,7748567;2
300;93,98310138;98,84576027;1
301;104,8117727;80,13690856;0
302;92,19562596;86,66717147;1
303;117,8751179;86,25596618;0
304;93,834831;98,48452035;1
305;100,0998284;86,73388291;0
306;100,1204853;95,00879539;0
307;97,26234137;103,9584393;1
308;100,8290499;102,1112555;0
309;107,9033043;101,3485305;0
310;93,34725089;113,0857188;1
311;114,628904;116,7126927;0
312;113,6250037;96,21554707;0
313;104,8900802;99,48992127;0
314;97,1103307;106,5140284;1
315;86,92867393;103,7861014;2
316;98,62520781;99,29984824;1
317;107,7619234;79,1612936;0
318;104,2589249;113,0426088;0
319;105,262541;97,90594529;0
320;116,4525318;103,5642984;0
321;96,93841346;96,96165105;1
322;95,1658765;96,26152203;1
323;85,01866685;85,6551085;2
324;116,9685336;107,6087872;0
325;113,1073648;91,61166215;0
326;101,417277;99,50064193;0
327;101,7511638;86,5810878;0
328;105,765753;87,66238605;0
329;115,6459009;98,36601319;0
330;85,27455318;80,39947968;2
331;96,75106892;112,4149665;1
332;103,413902;110,0071475;0
333;88,95593762;98,64760412;2
334;114,0064458;98,9565822;0
335;107,7619234;113,1163915;0
336;108,7786475;106,0536195;0
337;102,4512474;98,35129074;0
338;118,4774763;94,94197027;0
339;87,61968527;104,2974762;2
340;86,51114765;94,63703944;2
341;117,8675691;111,3359192;0
342;95,50789198;99,43399871;1
343;99,12027988;121,229971;1
344;94,6255457;81,26331775;1
345;107,3287083;86,66532974;0
346;110,5828349;87,85815478;0
347;97,10155407;100,0784098;1
348;64,36526999;94,06084044;2
349;94,51740678;105,1285724;1
350;93,19761628;124,3053364;1
351;104,7834533;102,9887133;0
352;101,6983677;89,86327228;0
353;100,7553808;114,9954758;0
354;106,6250891;81,80996954;0
355;98,77334176;87,18849383;1
356;107,7206323;94,00142769;0
357;98,79029247;105,2020141;1
358;124,2471287;113,0983153;0
359;102,8004479;97,19318566;0
360;108,9760533;100,0830028;0
361;91,32990069;95,41546458;1
362;85,48391886;94,30815478;2
363;113,8530368;114,0289103;0
364;110,6743528;102,7773922;0
365;96,07629206;108,4144631;1
366;93,94270844;108,9943796;1
367;109,4293682;97,61491836;0
368;88,38779902;80,20784915;2
369;76,58887878;102,6472321;2
370;101,6665581;93,5849587;0
371;88,70905529;99,77392235;2
372;102,2256017;100,6610435;0
373;105,9930926;107,377821;0
374;97,41135071;113,1145953;1
375;106,8468125;104,1703061;0
376;91,23483576;88,5114903;1
377;75,65028025;96,63228891;2
378;106,9311909;106,369055;0
379;103,9981728;109,7578095;0
380;108,1279836;113,9212716;0
381;101,7791308;84,27297214;0
382;86,66717147;98,37609721;2
383;91,37548912;100,7484687;1
384;104,7637286;91,92089035;0
385;116,0237505;110,3670118;0
386;87,39601779;104,8427182;2
